Time, Temp (C), Humidity (%)
2022-01-28 22:22:38.968231, 19.4, 55.0
2022-01-28 22:22:44.051652, 19.2, 55.0
2022-01-28 22:22:49.135863, 19.2, 55.0
2022-01-28 22:22:54.219908, 19.2, 55.0
2022-01-28 22:22:59.303821, 19.2, 56.0
2022-01-28 22:23:04.383116, 19.2, 56.0
2022-01-28 22:23:09.470412, 19.2, 56.0
2022-01-28 22:23:14.557171, 19.3, 56.0
2022-01-28 22:23:19.643462, 19.3, 60.0
2022-01-28 22:23:24.730389, 19.4, 61.0
2022-01-28 22:23:29.817186, 19.4, 61.0
2022-01-28 22:23:34.908476, 19.4, 61.0
2022-01-28 22:23:39.988346, 19.4, 61.0
2022-01-28 22:23:45.072265, 19.4, 60.0
2022-01-28 22:23:50.156409, 19.4, 60.0
2022-01-28 22:23:55.243150, 19.4, 59.0
2022-01-28 22:24:00.329970, 19.4, 59.0
2022-01-28 22:24:05.417447, 19.4, 59.0
2022-01-28 22:24:10.503098, 19.3, 59.0
2022-01-28 22:24:15.589711, 19.3, 58.0
2022-01-28 22:24:20.671604, 19.3, 58.0
2022-01-28 22:24:25.757916, 19.3, 58.0
2022-01-28 22:24:30.843791, 19.3, 58.0
2022-01-28 22:24:35.930625, 19.3, 58.0
2022-01-28 22:24:41.012984, 19.3, 58.0
2022-01-28 22:24:46.098805, 19.3, 58.0
2022-01-28 22:24:51.186396, 19.2, 58.0
2022-01-28 22:24:56.273083, 19.2, 58.0
2022-01-28 22:25:01.365119, 19.2, 57.0
2022-01-28 22:25:06.451626, 19.2, 57.0
2022-01-28 22:25:11.538367, 19.2, 57.0
2022-01-28 22:25:16.620153, 19.1, 57.0
2022-01-28 22:25:21.706871, 19.1, 57.0
2022-01-28 22:25:26.788858, 19.1, 57.0
2022-01-28 22:25:31.875605, 19.1, 57.0
2022-01-28 22:25:42.045012, 19.1, 57.0
2022-01-28 22:25:52.212212, 19.1, 57.0
2022-01-28 22:25:57.292255, 19.1, 57.0
2022-01-28 22:26:02.377235, 19.0, 57.0
2022-01-28 22:26:07.463840, 19.0, 57.0
2022-01-28 22:26:12.550451, 19.0, 57.0
2022-01-28 22:26:17.637004, 19.0, 57.0
2022-01-28 22:26:22.723521, 19.0, 57.0
2022-01-28 22:26:27.810572, 19.0, 57.0
2022-01-28 22:26:37.973008, 18.9, 57.0
2022-01-28 22:26:48.142150, 18.9, 57.0
